time, ldr, temp, tsl2561, bh1750
1022,3343,32.3,74,75
1027,3344,32.3,75,75
1029,3312,32.3,68,75.83
1031,3345,32.2,75,75
1033,3309,32.2,69,74.17
1035,3342,32.3,74,75.83
1037,3317,32.3,70,75
1039,3327,32.2,71,74.17
1043,3315,32.2,69,75
1045,3349,32.3,76,74.17
1047,3298,32.2,67,75
1049,3351,32.3,76,75
1051,3298,32.3,67,74.17
1053,3350,32.3,76,75
1055,3309,32.3,69,75.83
1057,3342,32.3,73,75
1059,3327,32.3,70,74.17
1061,3325,32.2,70,75
1063,3344,32.2,74,75.83
1066,3312,32.2,68,74.17
1068,3346,32.2,76,75
1070,3298,32.3,67,75
1072,3344,32.2,75,74.17
1074,3314,32.2,69,75
1076,3312,32.2,70,75
1078,3361,32.3,75,74.17
1080,3303,32.3,67,75.83
1082,3333,32.3,73,74.17
1084,3344,32.3,74,75.83
1086,3273,32.3,67,75
1088,3334,32.2,73,75
1090,3334,32.2,73,75
1092,3309,32.3,68,74.17
1094,3350,32.3,76,75.83
1096,3311,32.3,69,75
1098,3334,32.3,73,75
1100,3329,32.3,71,75.83
1102,3318,32.2,69,75
1104,3344,32.2,74,74.17
1107,3301,32.3,68,75.83
1109,3351,32.3,76,75
1111,3309,32.3,67,75
1113,3343,32.2,75,75.83
1115,3303,32.2,68,75
1117,3344,32.3,75,74.17
1119,3312,32.2,69,75
1121,3335,32.3,75,75.83
1123,3312,32.2,69,75
1125,3343,32.3,75,74.17
1127,3305,32.3,68,75.83
1129,3349,32.2,76,75.83
1131,3302,32.3,67,75
1133,3349,32.3,76,74.17
1135,3312,32.3,69,75
1137,3331,32.3,71,75
1139,3341,32.2,74,75.83
1141,3302,32.3,67,75
1143,3350,32.3,76,75.83
1145,3316,32.3,70,75
1148,3317,32.3,69,74.17
1150,3347,32.3,76,74.17
1152,3309,32.3,68,75
1154,3337,32.3,73,75.83
1156,3334,32.3,72,75.83
1158,3309,32.3,69,75
1160,3347,32.3,75,74.17
1162,3301,32.3,67,75
1164,3349,32.3,76,75.83
1166,3307,32.3,67,75.83
1168,3346,32.3,75,74.17
1170,3301,32.3,68,75
1172,3344,32.3,75,75.83
1174,3309,32.3,69,75.83
1176,3343,32.3,74,75
1178,3309,32.3,69,74.17
1180,3337,32.2,72,75.83
1182,3319,32.3,70,75.83
1184,3329,32.3,71,74.17
1186,3334,32.3,72,75
1189,3315,32.3,70,75
1191,3341,32.2,73,75.83
1193,3312,32.2,69,75
1195,3331,32.3,75,74.17
1197,3303,32.2,68,75
1199,3350,32.2,75,75
1201,3303,32.3,69,74.17
1203,3344,32.2,74,75
1205,3307,32.2,69,75.83
1207,3337,32.2,74,75
1209,3313,32.2,69,74.17
1211,3341,32.3,73,75
1213,3318,32.2,69,75.83
1215,3338,32.3,72,74.17
1217,3325,32.3,70,75
1219,3331,32.2,71,75.83
1221,3323,32.2,71,75
1223,3326,32.2,70,74.17
1225,3329,32.3,70,75
1227,3333,32.2,72,75.83
1230,3318,32.3,69,75
1232,3346,32.3,75,75
1234,3308,32.2,68,74.17
1236,3339,32.3,73,75
1238,3326,32.3,70,75
1240,3313,32.3,69,75.83
1242,3345,32.3,75,75
1244,3302,32.3,67,74.17
1246,3349,32.3,75,74.17
1248,3317,32.2,69,75
1250,3318,32.2,70,75.83
1252,3346,32.3,76,75.83
1254,3299,32.3,67,75
1256,3341,32.3,73,75
1258,3327,32.2,72,74.17
1260,3306,32.3,68,75
1264,3307,32.3,68,75.83
1266,3344,32.3,73,75
1268,3327,32.2,71,75
1271,3315,32.3,69,74.17
1273,3344,32.3,75,75
1275,3301,32.3,67,75.83
1277,3350,32.3,76,75
1279,3310,32.3,69,75
1281,3343,32.3,73,74.17
1283,3319,32.2,70,75
1285,3333,32.3,72,75.83
1287,3326,32.3,70,75
1289,3332,32.3,71,74.17
1291,3326,32.3,71,75.83
1293,3331,32.3,71,75
1295,3327,32.2,70,74.17
1297,3333,32.3,71,75
1299,3317,32.2,70,75.83
1301,3332,32.3,72,75
1303,3312,32.3,70,74.17
1305,3339,32.3,73,75
1307,3314,32.3,69,75.83
1309,3343,32.3,74,74.17
1312,3312,32.2,69,75
1314,3343,32.2,74,75.83
1316,3313,32.3,69,75
1318,3338,32.3,73,74.17
1320,3320,32.2,70,74.17
1322,3329,32.2,71,75
1324,3333,32.3,72,75.83
1326,3315,32.2,69,75
1328,3351,32.3,75,75
1330,3311,32.2,68,74.17
1332,3360,32.3,76,75.83
1334,3293,32.3,67,75.83
1336,3344,32.3,75,75
1338,3315,32.3,69,74.17
1340,3331,32.2,71,74.17
1342,3341,32.2,74,75
1344,3301,32.2,68,75.83
1346,3349,32.2,76,75
1348,3310,32.2,67,74.17
1350,3345,32.3,75,75
1353,3302,32.3,69,75.83
1355,3339,32.3,73,75
1357,3325,32.3,71,75
1359,3315,32.3,69,74.17
1361,3349,32.2,75,75
1363,3305,32.3,67,75.83
1365,3344,32.3,75,75.83
1367,3312,32.2,69,75
1369,3327,32.2,70,74.17
1371,3344,32.2,74,74.17
1373,3305,32.2,68,75
1375,3352,32.2,76,75.83
1377,3311,32.3,69,75
1379,3331,32.3,71,74.17
1381,3344,32.2,74,74.17
1383,3301,32.3,67,75
1385,3344,32.3,75,75
1387,3329,32.3,72,75
1389,3305,32.3,68,75.83
1391,3346,32.3,75,75
1394,3323,32.3,72,75
1396,3306,32.3,68,75
1398,3347,32.3,75,74.17
1400,3326,32.2,71,74.17
1402,3306,32.3,68,75
1404,3350,32.3,76,75
1406,3312,32.3,69,75.83
1408,3319,32.3,70,75
1410,3345,32.3,75,75.83
1412,3301,32.3,67,75
1414,3344,32.3,74,75
1416,3331,32.2,72,74.17
1418,3309,32.2,68,74.17
1420,3357,32.3,76,75
1422,3305,32.3,68,75.83
1424,3333,32.3,73,75
1426,3327,32.3,71,75
1428,3313,32.3,69,74.17
1430,3344,32.3,75,75
1432,3306,32.3,67,75.83
1435,3343,32.3,76,75
1437,3299,32.3,67,74.17
1439,3345,32.3,75,75
1441,3312,32.3,69,75.83
1443,3341,32.3,73,75
1445,3318,32.3,70,74.17
1447,3326,32.3,70,74.17
1449,3337,32.3,72,75
1451,3313,32.2,69,75.83
1453,3344,32.3,75,75
1455,3299,32.3,67,74.17
1457,3354,32.3,76,75
1459,3298,32.3,68,75.83
1461,3344,32.2,74,75
1463,3325,32.2,70,75
1465,3327,32.3,70,74.17
1467,3343,32.2,74,75
1469,3305,32.3,68,75.83
1471,3346,32.3,76,75
1473,3295,32.3,67,74.17
1476,3351,32.3,75,74.17
1478,3307,32.3,69,75
1480,3340,32.3,73,75
1482,3329,32.3,71,75
1484,3312,32.2,69,74.17
1486,3344,32.2,75,75
1488,3299,32.2,67,75
1490,3345,32.2,76,75
1492,3313,32.2,69,75
1494,3323,32.2,70,74.17
1496,3344,32.2,74,74.17
1498,3301,32.2,67,74.17
1500,3344,32.2,75,75
1502,3325,32.2,70,75
1504,3309,32.2,69,75.83
1506,3347,32.2,76,75
1508,3321,32.3,70,75
1510,3311,32.2,69,75
1512,3349,32.2,76,74.17
1514,3322,32.2,70,74.17
1517,3311,32.2,69,74.17
1519,3346,32.2,75,75
1521,3345,32.2,72,75
1523,3302,32.2,67,75
1525,3339,32.2,72,75.83
1527,3345,32.2,75,75.83
1529,3312,32.2,69,75
1531,3312,32.2,69,75
1533,3347,32.2,75,75
1535,3337,32.2,73,75
1537,3303,32.2,68,75
1539,3312,32.2,70,75
1541,3350,32.2,76,75
1543,3334,32.2,73,75
1545,3312,32.2,69,75
1547,3305,32.2,67,75
1551,3344,32.2,76,75
1553,3337,32.2,74,75
1555,3309,32.3,69,75
1558,3311,32.2,69,75
1560,3342,32.2,74,75
1562,3348,32.3,75,75
1564,3312,32.2,69,75
1566,3301,32.2,67,75
1568,3335,32.3,72,75
1572,3329,32.3,72,75
1574,3310,32.3,68,75
1576,3313,32.3,69,75
1578,3338,32.3,74,75
1580,3349,32.3,76,75.83
1582,3319,32.2,71,75.83
1584,3306,32.2,68,75
1586,3311,32.3,69,75
1588,3342,32.3,73,75
1590,3351,32.2,76,75
1592,3337,32.2,72,75
1594,3312,32.2,69,74.17
1596,3295,32.2,67,74.17
1599,3323,32.2,70,74.17
1601,3343,32.2,74,74.17
1603,3351,32.2,76,75
1605,3347,32.2,75,75
1607,3329,32.2,72,75.83
1609,3315,32.2,69,75.83
1611,3304,32.2,67,75.83
1613,3303,32.3,68,75
1615,3317,32.2,70,75
1617,3335,32.2,73,74.17
1619,3349,32.2,75,74.17
1621,3351,32.2,76,75
1623,3347,32.2,75,75
1625,3330,32.2,72,75.83
1627,3313,32.2,70,75
1629,3309,32.2,69,75
1631,3302,32.2,67,74.17
1633,3299,32.2,67,74.17
1635,3303,32.2,67,75
1637,3309,32.2,68,75.83
1640,3311,32.2,68,75
1642,3307,32.2,68,74.17
1644,3309,32.2,68,74.17
1646,3312,32.2,69,75
1648,3313,32.2,69,75.83
1650,3324,32.2,70,75
1652,3337,32.2,72,75
1654,3345,32.2,74,74.17
1656,3345,32.2,76,74.17
1658,3351,32.2,76,75
1660,3345,32.2,75,75.83
1662,3338,32.2,73,75
1664,3333,32.2,72,75
1666,3322,32.2,70,75
1668,3311,32.2,69,74.17
1670,3306,32.2,68,75
1672,3307,32.2,67,75
1674,3300,32.2,67,75
1676,3310,32.2,68,74.17
1678,3309,32.2,69,74.17
1681,3319,32.2,70,75
1683,3330,32.2,71,75
1685,3322,32.2,73,75.83
1687,3344,32.2,75,75
1689,3348,32.2,75,74.17
1691,3351,32.2,76,75
1693,3349,32.2,76,75
1695,3346,32.2,76,75.83
1697,3346,32.2,76,75
1699,3347,32.2,75,74.17
1701,3341,32.2,74,74.17
1703,3333,32.2,72,75
1705,3321,32.2,70,75.83
1707,3312,32.2,69,75.83
1709,3310,32.2,67,75
1711,3306,32.2,67,75
1713,3311,32.2,69,74.17
1715,3327,32.2,70,74.17
1717,3342,32.2,73,74.17
1719,3346,32.2,76,75
1722,3344,32.2,76,75
1724,3337,32.2,73,75.83
1726,3312,32.2,69,75
1728,3301,32.2,67,75
1730,3303,32.2,68,75
1732,3319,32.2,70,75
1734,3335,32.2,72,74.17
1736,3345,32.2,75,74.17
1738,3353,32.2,76,75
1740,3344,32.2,75,75
1742,3337,32.2,74,75
1744,3331,32.2,72,75
1746,3321,32.2,70,74.17
1748,3314,32.3,69,74.17
1750,3311,32.2,69,75
1752,3309,32.3,68,75
1754,3305,32.2,68,75
1756,3303,32.2,68,75
1758,3309,32.2,68,74.17
1760,3307,32.2,68,75
1763,3309,32.2,68,75.83
1765,3312,32.2,69,74.17
1767,3314,32.2,70,75
1769,3329,32.2,71,75.83
1771,3342,32.3,73,75
1773,3349,32.3,75,74.17
1775,3350,32.2,76,75
1777,3350,32.2,75,75
1779,3333,32.3,72,74.17
1781,3319,32.3,69,75
1783,3305,32.2,67,75
1785,3308,32.3,68,74.17
1787,3322,32.2,70,75
1789,3347,32.3,74,75
1791,3351,32.3,76,74.17
1793,3331,32.3,72,75
1795,3307,32.3,68,74.17
1797,3307,32.3,68,75
1799,3327,32.3,71,75
1801,3344,32.3,76,75
1804,3344,32.3,74,75
1806,3317,32.3,69,74.17
1808,3303,32.3,67,75
1810,3318,32.3,70,75
1812,3346,32.3,75,75
